commit	test_acc	status	description
df70e45	0.365803	keep	baseline (default config)
4ac9d28	0.310070	discard	hidden_size 64->128 (worse, overfit?)
af79162	0.357650	discard	dropout_p 0.3->0.5 (val up slightly, test down)
f15a32c	0.350805	discard	proj_dim 32->64 (val up, test down)
65d38b1	0.363529	discard	weight_decay 0.01->0.05 (~tied, val up test down)
28e8b9c	0.370506	keep	deep supervision aux_loss_weight 0.5 (val+test both up)
9624771	0.344456	discard	aux_loss_weight 1.0 (too strong, test down)
c4d8a35	0.375810	keep	aux_loss_weight 0.25 (new best, val+test up)
7033283	0.383335	keep	aux_loss_weight 0.1 (new best)
90fe414	0.380121	discard	aux_loss_weight 0.05 (past peak, worse)
15aa0e0	0.364470	discard	label smoothing 0.1 (hurt both)
83236ac	0.336852	discard	num_layers 2 (stacked GRU overfits)
e4280fb	0.369931	discard	lr 0.0005 (val up, test down)
edc267d	0.367527	discard	lr 0.002 (both down, 0.001 is sweet spot)
c0f4d96	0.385661	keep	input noise std 0.1 (new best, val+test up)
bd40094	0.353104	discard	input noise std 0.2 (too strong, both down)
ca9186a	0.387699	keep	input noise std 0.05 (new best, val+test up)
4e80e9e	0.320626	discard	channel dropout p=0.2 (too aggressive, collapsed)
3e81864	0.327367	discard	channel dropout p=0.05 (still hurts; abandoned channel dropout)
42b22aa	0.373275	discard	dropout_p 0.2 (less dropout overfits, both down)
40ab5a1	0.361951	discard	batch_size 16 (smaller batch hurts, both down)
3c02fb0	0.388639	keep	mixup alpha 0.2 (new best, test up)
546ec6a	0.400815	keep	mixup alpha 0.4 (big jump, val+test up, >0.40)
1dc40b7	0.413540	keep	mixup alpha 0.8 (new best, test up)
61783a4	0.418452	keep	mixup alpha 1.0 (new best, val+test up)
57ee708	0.408628	discard	mixup alpha 1.5 (val up test down, past test peak)
cf90442	0.408366	discard	hidden_size 96 (val up test down, capacity still hurts)
8047663	0.434443	keep	remove input noise (simplification+perf win, over-regularized w/ mixup)
64fff12	0.406694	discard	remove aux loss (hurts; deep supervision still helps w/ mixup)
b78368d	0.426265	discard	dropout_p 0.2 w/ mixup (less dropout still hurts)
230150f	0.430576	discard	weight_decay 0.005 (val up test down, 0.01 is right)
7975d2c	0.421823	discard	aux_loss_weight 0.2 (worse, 0.1 is peak)
4c31fa2	0.428433	discard	mixup 1.2 (val up test down, 1.0 is peak)
