commit	val_acc	status	description
3159c79	0.403663	keep	baseline (default config)
570c83f	0.403663	discard	lr=0.003, weight_decay=0.001 (equal to baseline)
4cfce8e	0.372074	discard	hidden_size=128, proj_dim=64 (worse)
30db97f	0.365933	discard	dropout_p=0.1, patience=1000 (worse)
40a1265	0.401508	discard	batch_size=64, lr=0.0005 (worse)
0806b29	0.308833	discard	loss_at_last_timestep=False (much worse)
3c78597	0.417093	keep	use mua instead of lfp (improved)
491acae	0.198265	discard	temporal_diff=True (much worse)
a2dba30	0.426657	keep	all ROIs (1,2,3) (improved)
04ff994	0.446332	keep	no channel selection (improved)
b5f55c2	0.432640	discard	num_layers=2 (worse)
98cf930	0.416414	discard	lr=0.002 (worse)
345cea8	0.438415	discard	weight_decay=0.005 (worse)
b8c6cd5	0.446332	discard	patience=750 (equal)
9bcc2bd	0.466294	keep	proj_dim=48 (improved)
f6625b4	0.432797	discard	dropout_p=0.2 (worse)
a43e1b3	0.457175	discard	proj_dim=64 (worse than 48)
f1a26af	0.447821	discard	hidden_size=96 (slightly worse than best)
7b17447	0.469194	keep	bidirectional GRU (improved)
b472b0f	0.433476	discard	lr scheduler ReduceLROnPlateau (worse)
c210ea8	0.455503	discard	decode from time 0 (worse)
d27ac65	0.423547	discard	LSTM instead of GRU (worse)
413367a	0.442909	discard	lr=0.003 with bidirectional best config (worse)
fafaa9c	0.447194	discard	weight_decay=0.02 (worse)
efdf877	0.469194	discard	patience=400 (equal to best)
e9a25c7	0.436507	discard	hidden_size=48 (worse)
442b305	0.449493	discard	proj_dim=56 (worse)
553cdc6	0.443681	discard	batch_size=16, lr=0.0005 (worse)
070089a	0.452733	discard	hidden_size=80 (worse)
9e5463d	0.469194	discard	n_epochs=3000, patience=750 (equal)
88a38f2	0.440113	discard	extra Linear layer in classifier (worse)
1b9a657	0.482520	keep	V4+IT rois (2,3) (big improvement)
5c07aca	0.487092	keep	proj_dim=56 with V4+IT (improved)
f62e9f7	0.487092	discard	hidden_size=80 with V4+IT (equal)
d7c4606	0.495846	keep	lr=0.002 with V4+IT (improved)
2ebf88f	0.482886	discard	dropout_p=0.2 with V4+IT (worse)
7eebe80	0.445365	discard	only IT (roi 3) with V4+IT config (worse)
69ab8c8	0.494513	discard	weight_decay=0.005 with best config (worse)
6df53c7	0.495846	discard	patience=600 with best config (equal)
59837cf	0.473714	discard	decode-time-step=5 (worse)
f33ed7c	0.000000	crash	monkeyN not available (no data file)
56d5233	0.486100	discard	proj_dim=64 with best config (worse)
393915f	0.482781	discard	hidden_size=96 with best config (worse)
3061546	0.496734	keep	lr=0.0015 with best config (new best!)
d98a214	0.488294	discard	lr=0.003 with best config (worse)
169cd7d	0.503083	keep	weight_decay=0.02 with best config (new best!)
54aa931	0.503789	keep	weight_decay=0.03 with best config (new best!)
2733423	0.496943	discard	weight_decay=0.015 with best config (worse)
371bf92	0.501150	discard	proj_dim=40 (worse)
1605805	0.500183	discard	hidden_size=56 (worse)
9d4d972	0.501855	discard	lr=0.0018 (worse)
346b374	0.518943	keep	weight_decay=0.025 (new best!)
f1146cf	0.505827	discard	weight_decay=0.022 (worse)
26699bb	0.515076	discard	weight_decay=0.028 (worse)
b94a574	0.496237	discard	lr=0.0012 (worse)
4b6dca9	0.486962	discard	lr=0.0017 (worse)
c205010	0.490306	discard	proj_dim=52 (worse)
130a326	0.488503	discard	proj_dim=60 (worse)
3b1df84	0.477795	discard	batch_size=48 (worse)
76f8f93	0.485297	discard	batch_size=24 (worse)
7368dd7	0.503919	discard	patience=400 (worse)
37c3fb5	0.518943	keep	patience=600 (equal to best)
8d6a215	0.503919	discard	n_epochs=1500, patience=400 (worse)
e99aaff	0.505121	discard	decode_time_first=40 (worse)
6a8b1d3	0.518943	discard	patience=700 (equal)
d047ae3	0.493207	discard	weight_decay=0.026 (worse)
c9f32f5	0.493024	discard	weight_decay=0.024 (worse)
d05b678	0.498511	discard	lr=0.0014 (worse)
54cb3de	0.501986	discard	lr=0.0016 (worse)
036e2e2	0.507630	discard	weight_decay=0.023 (worse)
0ae5365	0.518943	discard	patience=550 (equal)
77dcd8b	0.478940	discard	proj_dim=54 (worse)
e5d19be	0.500287	discard	hidden_size=72 (worse)
89bc603	0.490541	discard	dropout_p=0.35 (worse)
