commit	val_acc	status	description
3159c79	0.412678	keep	baseline (default config)
ffa624d	0.384093	discard	dropout 0.3->0.5, weight_decay 0.01->0.05 (over-regularized, early-stopped ep785)
4c956e0	0.308815	discard	loss at all timesteps (hurt last-step acc)
67c2b36	0.372910	discard	increase capacity proj64/hidden128 (overfit faster, lower peak)
900aa6a	0.541176	keep	MUA+LFP fusion, V4+IT rois, no chan-sel, proj64, hidden68, bs50, lr1.1e-3, wd0.03, dropout0.2, 1800ep/pat800
5e4941b	0.531176	discard	structured channel dropout 0.3 (slowed memorization, no peak gain)
f6104d9	0.512941	discard	label smoothing 0.1 (hurt peak acc)
76204aa	0.482941	discard	PCA 256 comps (lost 20pct var, hurt discriminative info)
9ed5157	0.000000	crash	add V1 rois[1,2,3] fused (2048ch, OOM during 2nd-signal load ~75GB)
d8b64db	0.585882	keep	mixup alpha 0.2 (controls memorization; train/val loss track, gradual climb)
8bcf8da	0.596471	keep	bigger capacity proj128/hidden128 on mixup base (peak ~ep500)
f7b131e	0.611176	keep	bigger capacity proj256/hidden256 on mixup base (val loss 1.66)
9c12fcf	0.610588	discard	capacity 512 (overfits more than 256, no gain; 256 is sweet spot)
023b2fb	0.614706	keep	stronger mixup alpha 0.3 on cap256 (val loss 1.68)
20efe2c	0.608235	discard	2 GRU layers + inter-dropout 0.1 (overfit more, 1 layer better)
a1639c5	0.643529	keep	cosine LR schedule eta_min 1e-4 (monotonic val loss decline, still improving at ep1800)
b2b55d8	0.638235	discard	extend n_epochs to 2400 (gentler cosine, peak lower; 1800ep optimal)
a34f851	0.630000	discard	mixup alpha 0.4 (too strong, underfit at ep1800)
09f8a6b	0.616471	discard	capacity 512 + cosine (still overfits late; 256 sweet spot)
3820f8d	0.630588	discard	higher base lr 1.5e-3 + cosine (underfit at ep1800)
cadbad4	0.623529	discard	dropout 0.3 (underfit)
