commit	val_acc	status	description
3159c79	0.403663	keep	baseline (default config, patience=500, n_epochs=2000, proj_dim=32, hidden=64)
9d53481	0.400920	discard	exp1: dropout 0.3->0.5 (worse, early-stopped)
9c96006	0.398620	discard	exp2: weight_decay 0.01->0.05 (worse)
208c1f8	0.404160	keep	exp3: lr 0.001->0.003 (small improvement, new best)
4bee28a	0.366560	discard	exp4: hidden 128 + proj 64 (overfit, much worse)
8c5a045	0.400188	discard	exp5: proj_dim 64 (hidden 64, slightly worse)
6b8b267	0.376045	discard	exp6: neural_data mua (84 ch, worse than lfp 244ch)
9b5228f	0.399561	discard	exp7: rois [1,2,3] (678ch, worse than IT-only 244ch)
ad909d4	0.384976	discard	exp8: batch_size 64 (faster but worse)
1cc2a35	0.402958	discard	exp9: lr 0.005 (worse than 0.003)
a67f921	0.391775	discard	exp10: label smoothing 0.1 (worse)
a81ef6b	0.401024	discard	exp11: pool_last mean-pool (worse, final state alone better)
a3f9f10	0.389710	discard	exp12: decode window end 200 (15 steps, last=190ms, worse)
0ec99ba	0.413305	keep	exp13: decode window end 350 (30 steps, last=340ms) NEW BEST
99d8a5a	0.389972	discard	exp14: window end 450 (40 steps, last=440ms, too late)
b6fff6b	0.391749	discard	exp15: window end 300 (25 steps, last=290ms, worse, non-monotonic)
1114dcb	0.382055	discard	exp16: hidden 128 on window-350 (worse, capacity still hurts)
1545e99	0.362667	discard	exp17: temporal_diff preprocessing (much worse, z-score better)
ece40ae	0.367762	discard	exp18: 2 GRU layers (depth hurts like width)
c11b8b8	0.412443	discard	exp19: train_all_steps (mean-loss train, last-step eval, marginally worse)
efe99fa	0.408967	discard	exp20: avg_time 5 (less smoothing, worse)
38742d5	0.403898	discard	exp21: avg_time 20 (more smoothing, worse; 10 is sweet spot)
b6c6ac0	0.390076	discard	exp22: window 360 (sharp drop, window 350 is a lottery-like peak)
88ddddb	0.401625	discard	exp23: window 340 (0.402, below 350 peak; locking window 350)
0473b3c	0.397549	discard	exp24: lr 0.004 on window 350 (worse, 0.003 still optimal)
31589a2	0.390207	discard	exp25: lr 0.002 on window 350 (worse, 0.003 sharp optimum)
cdf8aed	0.355978	discard	exp26: threshold 2.0 (153ch, much worse, fewer ch hurt)
c4323fa	0.403925	discard	exp27: threshold 1.0 (273ch, slightly worse; 1.5 is sweet spot)
1445b5a	0.384929	discard	exp28: baseline correction (worse, z-score already handles it)
4b02390	0.402592	discard	exp29: grad_clip 1.0 (worse, clipping too tight)
6ad83bf	0.408628	discard	exp30: cosine LR schedule (worse, constant lr 0.003 already optimal)
2e34701	0.382394	discard	exp31: dropout 0.2 (much worse, overfits; 0.3 is sweet spot)
8fbc1aa	0.397314	discard	exp32: weight_decay 0.005 (worse, 0.01 is sweet spot)
9d486f6	0.404421	discard	exp33: MLP classifier head (worse, single linear better)
d988641	0.406198	discard	exp34: GELU in input proj (worse, GRU gates already nonlinear)
8c9b4c3	0.387803	discard	exp35: AdamW betas (0.9,0.95) (worse, default 0.999 better)
c396a0e	0.399038	discard	exp36: batch_size 16 (worse, 32 is sweet spot)
dca599b	0.396844	discard	exp37: input noise std=0.1 (worse, over-regularizes)
bfaad25	0.375314	discard	exp38: remove post-RNN LayerNorm (much worse, LayerNorm stabilizes hidden)
be01378	0.403925	discard	exp39: learnable GRU init state (worse, zero init is fine)
81f855f	0.392271	discard	exp40: orthogonal GRU init (worse, default init better)
0ec99ba	0.390233	discard	exp41: window first 30 (worse, 50ms is right start)
0ec99ba	0.369043	discard	exp42: window first 100 (much worse, early bins carry signal)
7abbadb	0.433607	keep	exp43: mixup alpha=0.2 NEW BEST (+0.020)
e6b9950	0.436507	keep	exp44: mixup alpha=0.4 NEW BEST
5f8f320	0.441054	keep	exp45: mixup alpha=0.6 NEW BEST
a2f5c86	0.441994	keep	exp46: mixup alpha=0.8 NEW BEST (marginal)
d06b417	0.454850	keep	exp47: mixup alpha=1.0 (uniform lambda) NEW BEST
1ccbd44	0.449232	discard	exp48: mixup alpha=1.5 (worse, 1.0 is peak)
a635ee4	0.471572	keep	exp49: mixup=1.0 + hidden 128 NEW BEST (mixup enables capacity)
5eaec45	0.453674	discard	exp50: mixup + hidden 256 (worse, 128 is sweet spot)
1120876	0.464726	discard	exp51: mixup + proj 64 (worse, 32 is sweet spot)
b03d633	0.438963	discard	exp52: mixup + 2 layers (worse, 1 layer best)
d8a1d70	0.441524	discard	exp53: mixup + dropout 0.2 (worse, 0.3 still needed)
d4b8353	0.470109	discard	exp54: mixup + lr 0.002 (worse, 0.003 optimal)
45b95c2	0.447873	discard	exp55: mixup + MLP head (worse, single linear still better)
3ba1d3d	0.450747	discard	exp56: mixup + wd 0.02 (worse, 0.01 optimal)
b243c88	0.454983	discard	exp57: mixup + batch 64 (worse, 32 optimal)
a635ee4	0.445966	discard	exp58: mixup + window 450 (worse, 350 peak holds)
7738331	0.478653	keep	exp59: mixup+hidden128+cosine LR NEW BEST
bc027d3	0.476745	discard	exp60: cosine lr_min 0.0 (worse, 0.0003 optimal)
19f9602	0.441027	discard	exp61: cosine + peak lr 0.004 (worse, 0.003 optimal)
8288368	0.465432	discard	exp62: cosine T_max=1000 (worse, slow anneal T_max=2000 better)
6bc1c0d	0.481161	keep	exp63: mixup+cosine+dropout 0.4 NEW BEST
9b52fc5	0.473741	discard	exp64: dropout 0.5 (worse, 0.4 is peak)
75baaf1	0.462296	discard	exp65: wd 0.02 (worse, 0.01 optimal)
b644fe4	0.491743	keep	exp66: best + dropout 0.45 NEW BEST
7a817f9	0.470475	discard	exp67: dropout 0.48 (worse, 0.45 is peak)
bebb718	0.489940	discard	exp68: hidden 96 (worse, 128 optimal)
29bc5e8	0.452446	discard	exp69: avg_time 15 (worse, 10 optimal)
5e5a335	0.473349	discard	exp70: mixup alpha 1.2 (worse, 1.0 is peak)
5f56317	0.463394	discard	exp71: lr_min 0.0001 (worse, 0.0003 optimal)
0aea8c6	0.514580	keep	exp72: best + proj_dim 48 NEW BEST (+0.023)
a6019c6	0.482990	discard	exp73: proj 64 (worse, 48 is peak)
b296de4	0.492710	discard	exp74: proj 40 (worse, 48 is peak)
cb4764f	0.506898	discard	exp75: hidden 160 (worse, 128 is peak) [FINAL exp75]
