commit	test_acc	status	description
df70e45	0.365803	keep	baseline (default config: proj32/hidden64/1layer, lr1e-3, wd0.01, bs32, patience500)
bf4aa08	0.324598	discard	exp1: proj_dim128/hidden128 (more capacity -> worse overfit)
4b9024e	0.357650	discard	exp2: dropout_p 0.5 (val up but test slightly down)
2473841	0.330503	discard	exp3: input noise std=0.2 (too disruptive; val+test down)
fbad158	0.369173	keep	exp4: cosine LR annealing (1e-3->1e-5 over n_epochs)
9e80b15	0.375915	keep	exp5: lr 2e-3 + cosine (higher peak)
e52e271	0.353339	discard	exp6: lr 4e-3 + cosine (val up but test down; too high)
ddb11eb	0.330241	discard	exp7: label smoothing 0.1 (over-dilutes 100-class signal)
4ba5901	0.361560	discard	exp8: batch_size 64 (smoother grads hurt; bs32 better)
f5c634f	0.372805	discard	exp9: aux all-timestep loss 0.5 (close but slightly worse)
f256679	0.437422	keep	exp10: mixup alpha 0.4 + lr2e-3 + cosine (big win)
cfb3c2b	0.403062	discard	exp11: mixup alpha 0.8 (too strong)
2309bd1	0.399822	discard	exp12: mixup alpha 0.2 (too mild; 0.4 is peak)
a8796f2	0.459187	keep	exp13: proj128/hidden128 + mixup0.4 (capacity helps w/ mixup)
25c0163	0.490907	keep	exp14: proj256/hidden256 + mixup0.4 (more capacity)
509e877	0.465693	discard	exp15: proj256/hidden512 (past 256 overfits despite mixup)
8e2f31f	0.470109	discard	exp16: num_layers=2 hidden256 (depth worse than width)
51c9396	0.471703	discard	exp17: lr 1e-3 big model (worse than 2e-3)
2eb4125	0.446436	discard	exp18: lr 3e-3 big model (worse; 2e-3 is optimum)
52726e5	0.485734	discard	exp19: weight_decay 0.05 (slightly worse than 0.01)
d4048de	0.394779	discard	exp20: weight_decay 0.001 (much worse; wd is key regularizer)
d872741	0.485969	discard	exp21: dropout_p 0.5 (slightly worse than 0.3)
0728949	0.499321	keep	exp22: decode window 50-400ms (eval@390ms) + best config (more context)
e7cd521	0.491508	discard	exp23: decode window to 450ms (eval@440; tail adds noise)
32f1cc5	0.318100	discard	exp24: PROBE all-timestep loss over 50-450ms (diagnostic; mapped per-time curve)
7c144ac	0.490634	discard	exp25: MC-dropout TTA k=10 at test eval (worse than 0.499; no benefit)
5b23733	0.189643	invalid	exp26: LSTM instead of GRU (INVALID: ran 40 epochs due to n_epochs config corruption, not a comparable result; reset away)
3a2c5c6	0.499321	discard	exp27: reproduce best config (timing 2000-ep wall-clock ~43min; equal to exp22, no improvement; confirms determinism + budget blocks multi-model ensembles)
d68b55d	0.476745	discard	exp28: input Gaussian noise std=0.1 + mixup0.4 (over-regularizes; test down 0.499->0.477; noise hurts this standardized LFP)
ab16169	0.502325	keep	exp29: label smoothing 0.05 + mixup0.4 + best config (test up 0.499->0.502; val down but test generalizes better; NEW BEST)
b0a6852	0.485629	discard	exp30: label smoothing 0.1 + mixup0.4 (over-smooths; 0.05 is the peak, 0.1 too much)
2ed902b	0.483330	discard	exp31: mixup 0.3 + label smoothing 0.05 (less mixup worse; 0.4 still better under LS)
a7630bc	0.501960	discard	exp32: mixup 0.5 + label smoothing 0.05 (essentially equal to best 0.5023, within noise; mixup 0.4 confirmed peak; FINAL best = exp29 0.502325)
