commit  val_acc status  description
041eade 0.407870        keep    baseline (default config: monkeyF IT/lfp, dprime chsel, GRU h64 proj32)
22de651 0.376646        discard exp01 capacity bump proj64 hidden128 dropout0.4 (overfit worse)
7e9934e 0.385295        discard exp02 strong reg dropout0.5 wd0.05 (underfit, stopped early)
0a2fd27 0.390808        discard exp03 proj_dim 32->64 only (overfits slightly)
31d7c68 0.417694        keep    exp04 neural_data lfp->mua (84ch, sharper signal)
14fb3ff 0.381715        discard exp05 widen decode window 50-400ms (late bins add noise)
bb0949d 0.414481        discard exp06 mild reg dropout0.4 wd0.03 on MUA (slightly worse)
67e2548 0.428773        keep    exp07 lr 0.0005 on MUA (slower opt, +0.011)
15267d5 0.422398        discard exp08 lr 0.0003 (too low, underfits)
43c6952 0.378893        discard exp09 2-layer GRU + inter-layer dropout (overfits faster)
6ea8983 0.370976        discard exp10 hidden128 at lr0.0005 (overfits hard, capacity dead end)
c549948 0.422162        discard exp11 label smoothing 0.1 (slightly worse)
56c0e32 0.373171        discard exp12 channel threshold 2.0 (48ch, fewer=worse)
d3b8f51 0.419445        discard exp13 channel threshold 1.0 (153ch, more=slightly worse; 84ch optimal)
0c27fa6 0.433607        keep    exp14 mixup alpha=0.2 (anti-overfit, val loss 2.86->2.34, +0.005)
ff30241 0.425402        discard exp15 mixup alpha 0.4 (too strong, underfits)
e4afac5 0.389136        discard exp16 hidden128+mixup (still overfits, capacity dead end)
44329db 0.412207        discard exp17 proj64+mixup (overfits more, proj32 better)
4a0156a 0.443588        keep    exp18 channel threshold 1.0 (153ch) + mixup 0.2 (more ch helps w/ mixup, +0.01)
4649688 0.463158        keep    exp19 disable channel selection (320ch all) + mixup 0.2 (big +0.02)
79c5dda 0.492109        keep    exp20 proj_dim 32->64 (320ch) + mixup (bottleneck relief, +0.029)
3d7fe68 0.460415        discard exp21 proj_dim 128 (overfits, 64 is sweet spot)
65ceed8 0.497910        keep    exp22 hidden_size 64->128 (320ch proj64 mixup, +0.006)
53fd7ce 0.560384        keep    exp23 add V4 (rois [2,3], 512ch) + mixup (huge +0.06, area diversity)
eeaa089 0.552440        discard exp24 proj_dim 128 at 512ch (slightly overfits, 64 still sweet)
6e7c058 0.000000        crash   exp25 add V1 (1024ch, 17min load>cap, noisier val_loss 2.52; killed)
ab9acb4 0.550533        discard exp26 mixup 0.3 (lower val loss but lower acc; 0.2 best)
3a9b170 0.569999        keep    exp27 num_layers 2 + inter-dropout 0.3 (deeper helps w/ mixup, +0.01)
ee68417 0.570704        discard exp28 hidden256 2-layer (noise-level +0.0007 over hidden128, 41min, not worth complexity)
c3e2aec 0.567700        discard exp29 dropout_p 0.4 (slightly worse, 0.3 sweet)
8d11f1b 0.560749        discard exp30 lr 0.0007 (worse, 0.0005 optimal)
9a878db 0.571070        keep    exp31 weight_decay 0.05 (better gen val_loss 1.96, +0.001)
72cc361 0.550141        discard exp32 weight_decay 0.1 (over-regularized, 0.05 sweet)
02b5b8e 0.561538        discard exp33 batch_size 64 (worse, batch32 optimal)
2bb9a6a 0.275057        discard exp34 temporal-diff input (destroys abs-level info, much worse)
047f04c 0.553512        discard exp35 inter-layer dropout 0.4 (worse, 0.3 sweet)
e95de9c 0.525763        discard exp36 decode window 50-200ms (narrower worse, 50-250 sweet)
d23d29f 0.560619        discard exp37 mixup 0.15 (overfits more, 0.2 sweet)
754fb9d 0.582619        keep    exp38 cosine LR schedule (anneal to 1e-6, +0.0115 val_loss 1.75)
bcf4c2c 0.573709        discard exp39 lr 0.0007 + schedule (worse, 0.0005 still sweet)
ee1915b 0.570704        discard exp40 mixup 0.3 + schedule (worse, 0.2 still sweet)
1e76b48 0.560854        discard exp41 input noise 0.1 (worse, hurts)
7ad3f69 0.578778        discard exp42 eta_min 5e-5 (worse, anneal to 1e-6 better)
5ea629a 0.504625        discard exp43 gradient clipping 1.0 (too aggressive, early plateau)
94e7ae6 0.591372        keep    exp44 hidden256 + schedule (bigger model trains productively, +0.009)
fd1f9e7 0.584056        discard exp45 proj_dim 128 at hidden256 (worse, 64 still sweet)
1d6b886 0.562526        discard exp46 n_epochs3000 T_max3000 (gentler anneal, early plateau, worse)
afd47c8 0.591242        discard exp47 3 layers (tied w/ 2-layer, slower; simplicity keeps 2)
45b4efb 0.581391        discard exp48 dropout_p 0.4 at hidden256 (worse, 0.3 sweet)
b25122b 0.579719        discard exp49 weight_decay 0.1 at hidden256 (worse, 0.05 sweet)
9f38117 0.577315        discard exp50 mean-pool concat readout (worse, overfits)
73a332c 0.575747        discard exp51 lr 0.0004 (worse, 0.0005 optimal)
0a43b18 0.583926        discard exp52 AdamW betas (0.9,0.99) (worse)
37fdf7d 0.591503        keep    exp53 mixup 0.25 (marginal +0.0001 over 0.2, no complexity)
35b05d3 0.590301        discard exp54 cosine T_max 1800 (slightly worse, 2000 best)
8962854 0.540447        discard exp55 2-layer input proj GELU (overfits, early plateau)
c3a62eb 0.591242        discard exp56 lr 0.0006 (marginally worse, 0.0005 optimal)
b677f14 0.592055        keep    exp57 batch_size 48 (slight +0.0005, still improving at cap)
b04c378 0.583151        discard exp58 batch_size 64 (worse, 48 sweet spot)
7c920f3 0.568452        discard exp59 batch_size 40 (worse, 48 optimal)
e2580a1 0.583126        discard exp60 dropout_p 0.35 (worse, 0.3 optimal)
49dbe9d 0.583126        discard exp61 weight_decay 0.075 (worse, 0.05 optimal)
da49cf8 0.592598        keep    exp62 n_epochs 2200 T_max2200 (slight +0.0005, more room)
75083ab 0.592598        discard exp63 n_epochs 2400 (tied w/ 2200, more compute; keep 2200)
f067dd6 0.601579        keep    exp64 mixup 0.22 (crossed 0.60, +0.009 over 0.25)
f8a687b 0.557971        discard exp65 mixup 0.18 (overfits, much worse; 0.22 sharp optimum)
d7a7829 0.563432        discard exp66 mixup 0.20 (worse, 0.22 sharp optimum)
62957ca 0.585455        discard exp67 inter-layer dropout 0.25 (worse, 0.3 optimal)
c6eaaf6 0.595574        discard exp68 mixup 0.23 (worse than 0.22, 0.22 sharp optimum)
0f4e72b 0.590166        discard exp69 mixup 0.21 (worse, 0.22 optimum confirmed)
c4de272 0.599094        discard exp70 T_max 2000 n_epochs 2200 (worse than T_max2200, slightly)
0104110 0.601527        discard exp71 proj_dim 80 (tied w/ 64 within noise, 64 simpler)
873abed 0.582428        discard exp72 lr 0.00045 (worse, 0.0005 optimal)
9af1753 0.607531        keep    exp73 weight_decay 0.06 (val_loss 1.68, +0.006 over 0.05)
25bdbaf 0.602122        discard exp74 weight_decay 0.065 (worse, 0.06 optimum)
5c457bb 0.599094        discard exp75 weight_decay 0.055 (worse, 0.06 optimum)
