commit  val_acc status  description                                                                                                                                                           
51eee73 0.407870        keep    baseline (default config; hit n_epochs=2000, heavy overfitting train 0.67/val 3.4)                                                                            
24333bc 0.385295        discard dropout 0.3->0.5 + weight_decay 0.01->0.05 (too strong, underfit, early stop ep785, val loss better but acc lower)                                            
d48c728 0.361753        discard proj_dim 32->96 + hidden 64->128 (overfits harder, train 0.13/val 5.4, early stop)                                                                            
1b6ef5c 0.409830        keep    label_smoothing=0.1 (calibrates overconfidence; clean early stop ep~1244, val loss 3.17 vs 3.4)                                                               
23aae16 0.411136        keep    label_smoothing=0.2 (beats 0.1; early stop ep~1351)                                                                                                           
2d5d63a 0.388400        discard label_smoothing=0.3 (over-smoothed; peak of knob is 0.2)                                                                                                      
7d075e4 0.408131        discard cosine LR annealing over n_epochs (decayed LR too fast, converged to shallower min; early stop ep~1228)                                                       
a32d46c 0.423495        keep    mixup_alpha=0.2 on training trials (mixed inputs + soft labels; val loss 3.16, +0.012 over ls=0.2)                                                            
281f12b 0.428930        keep    mixup_alpha=0.4 (beats 0.2; val loss 3.08, early stop)                                                                                                        
391f281 0.445992        keep    mixup_alpha=0.8 (beats 0.4 strongly; val loss 3.08; +0.027 over baseline)                                                                                     
9f06d16 0.461120        keep    mixup_alpha=1.0 (Beta(1,1)=uniform lambda; val loss 3.00 < train 3.11; +0.053 over baseline)                                                                  
1b99049 0.451244        discard mixup_alpha=2.0 (too aggressive lambda~0.5; worse than 1.0; peak of knob is 1.0)                                                                              
968bd8f 0.475883        keep    proj_dim 32->64 + hidden 64->128 WITH mixup 1.0 (capacity now helps under mixup reg; +0.015 over mixup alone)                                                 
ef478fe 0.485864        keep    proj_dim 64->128 + hidden 128->256 WITH mixup 1.0 (bigger capacity helps; val loss 2.97; +0.078 over baseline)                                                
847987f 0.468541        discard 2-layer GRU + inter-layer dropout 0.2 (depth hurt: harder to optimize, slower, val loss 3.16; worse than 1-layer)                                             
4259926 0.487066        keep    proj_dim 128->256 + hidden 256->512 WITH mixup 1.0 (capacity plateaued; +0.001 over h256, +0.079 over baseline)                             
1987e37 0.511680        keep    rois [3]->[1,2,3] all-ROI (V1+V4+IT, 678 chans; slow converge, hit epoch cap still improving; +0.025, broke 0.50; +0.104 over baseline)
eb95f2e 0.493050        discard proj_dim 256->512 (relieve bottleneck; worse + slower, overfits more; 678->256 is not a real bottleneck)
4d74956 0.519373        keep    batch_size 32->64 WITH all-ROI (faster epochs + better; converged & early-stopped cleanly; +0.008; +0.111 over baseline)
e75a7dc 0.503431        discard lr 0.001->0.002 at batch 64 (higher lr worse, val loss 3.25 vs 3.02, destabilized)
b833d7f 0.516259        discard GRU->LSTM swap (lstm slightly worse: 0.5163 vs 0.5194, val loss 3.12; GRU wins)
87cc815 0.513341        discard decode-time-first 50->0 (onset context 25 vs 20 steps; 0-50ms adds noise, slightly worse)
113017d 0.497356        discard neural_data lfp->mua (329 good chans vs 678; fewer good channels hurts; LFP better signal)
f1fcd74 0.390986        discard train loss over all timesteps (early-timestep near-chance CE dominates mean, ruins last-step metric; last-timestep-only training is correct)
2351985 0.465898        discard weight_decay 0.01->0.05 (more wd underfits vs mixup reg; default 0.01 is good)
b6c7480 0.513746        discard dropout 0.3->0.2 (less dropout overfits marginally more; default 0.3 is the sweet spot)
2ebe487 0.534841        keep    batch_size 64->128 (faster + better; hit epoch cap still climbing; large batch + mixup generalizes better; +0.015; +0.126 over baseline)
