commit	val_acc	status	description
3159c79	0.407870	keep	baseline (default config: proj32 hidden64 lr1e-3 wd0.01 bs32 patience500)
711f1e0	0.412977	keep	exp1: batch_size 32->128 (plateaued ~ep1500)
2cf2efd	0.407331	discard	exp2: cosine LR schedule (worse than exp1)
f533183	0.374869	discard	exp3: hidden_size 64->128 (worse, overfit)
85a5f12	0.404316	discard	exp4: proj_dim 32->64 (worse, plateaued ep783)
1c6389f	0.383555	discard	exp5: rois [3]->[1,2,3] (678ch, worse, bottleneck+noise)
9753949	0.404826	discard	exp6: label_smoothing 0.1 (worse, plateaued ep1047)
711f1e0	0.398690	discard	exp7: decode window 50-500ms (40 steps, worse, last=440ms)
258de1c	0.407870	discard	exp8: bs32 n_epochs4000 (plateaued at 0.4079 ep2000, no gain)
712f5e8	0.404053	discard	exp9: neural_data lfp->mua (84ch, worse, plateaued ep619)
fbe8cda	0.354991	discard	exp10: good_channel_threshold 1.5->2.0 (153ch, much worse)
8555f48	0.419804	keep	exp11: good_channel_threshold 1.5->1.0 (273ch, NEW BEST)
7166fc6	0.418638	discard	exp12: good_channel_threshold -1 (320ch all IT, slightly worse than thr1.0)
00517b6	0.427107	keep	exp13: proj_dim 32->64 on thr1.0 base (NEW BEST)
0f16081	0.384257	discard	exp14: proj_dim 64->128 (overfit, much worse)
bebf92c	0.367985	discard	exp15: num_layers 1->2 (2-layer GRU, overfit much worse)
05a0af1	0.412775	discard	exp16: dropout 0.3->0.4 (worse, underfit)
5701535	0.375742	discard	exp17: dropout 0.3->0.2 (worse, overfit; 0.3 is sharp optimum)
cad742a	0.409123	discard	exp18: lr 1e-3->2e-3 (worse, plateaued ep968)
7493a5e	0.420405	discard	exp19: decode window 50->300 last=290 (worse, 0.420 vs 0.427 at 240)
00517b6	0.391650	discard	exp20: decode window 50->200 last=190 (worse, 240 is the peak readout)
a57a702	0.424658	discard	exp21: all IT 320ch + proj64 (slightly worse than 273ch, 273 still optimal)
333fed7	0.412729	discard	exp22: weight_decay 0.01->0.05 (worse, underfit)
b398ab4	0.413184	discard	exp23: weight_decay 0.01->0.0 (worse; 0.01 is sharp optimum)
23d2224	0.384247	discard	exp24: temporal_diff input (worse, diff+session-zscore underperforms)
40fef5f	0.391842	discard	exp25: GRU->LSTM (worse, GRU better)
ecb07fd	0.428718	keep	exp26: patience 500->2000, n_epochs 2000->4000 (peak crept up to 0.4287, NEW BEST)
25711e8	0.417582	discard	exp27: input noise sigma0.1 (worse, over-regularizes)
4970923	0.417481	discard	exp28: aux temporal loss w=0.5 (worse, plateaued early)
6d8d2b5	0.489460	keep	exp29: mixup alpha=0.4 (BREAKTHROUGH, +0.06, NEW BEST 0.489)
3e21a46	0.480163	discard	exp30: mixup alpha 0.6 (slightly worse than 0.4)
da78a38	0.461124	discard	exp31: mixup alpha 0.2 (worse; 0.4 is optimum)
aab9987	0.486410	discard	exp32: mixup 0.4 + hidden128 (0.486, still climbing at ep4000 - revisit w/ more epochs)
d31fcad	0.447484	discard	exp33: mixup 0.4 + dropout 0.1 (worse, dropout 0.3 still needed)
5ee0501	0.487895	discard	exp34: mixup 0.4 + hidden128 + 8000ep (0.488, hidden64 still better/faster)
375af93	0.467452	discard	exp35: mixup 0.4 + proj128 (worse, proj64 still optimal)
0ea4702	0.478598	discard	exp36: mixup 0.4 + all IT 320ch (worse, 273ch still optimal)
7420273	0.480946	discard	exp37: mixup 0.4 + 2-layer (worse, 1-layer best)
372ed98	0.493804	keep	exp38: mixup 0.4 + cosine LR (NEW BEST 0.4938, cosine+mixup synergy)
686a153	0.488168	discard	exp39: mixup+cosine n_epochs6000 (worse, slower anneal; 4000 better)
a6ee2b6	0.496854	keep	exp40: mixup+cosine n_epochs3000 (NEW BEST 0.4969, faster anneal)
2230928	0.495379	discard	exp41: mixup+cosine n_epochs2000 (worse, 3000 is optimum)
a747d26	0.469447	discard	exp42: mixup+cosine lr 2e-3 (worse, lr 1e-3 optimal)
8e568bf	0.486173	discard	exp43: mixup+cosine lr 5e-4 (worse, lr 1e-3 optimal)
919368e	0.473711	discard	exp44: mixup+cosine bs64 (worse, bs128 better)
c04733e	0.498199	keep	exp45: mixup+cosine bs256 (NEW BEST 0.4982)
ad557a4	0.493250	discard	exp46: mixup+cosine bs512 (worse, bs256 optimum)
efd9c3b	0.473983	discard	exp47: mixup+cosine+bs256 alpha 0.5 (worse, 0.4 optimal)
bc311bb	0.479479	discard	exp48: EMA decay 0.999 (worse, slow decay drags in early weights)
e7fea9b	0.515311	keep	exp49: rois [3]->[2,3] V4+IT 451ch (NEW BEST 0.5153, +0.017)
ba7ff57	0.530579	keep	exp50: V4+IT + proj128 (NEW BEST 0.5306, +0.015, bottleneck mattered)
b506ce3	0.523714	discard	exp51: V4+IT + proj256 (worse, proj128 optimum)
3e10bd6	0.542148	keep	exp52: V4+IT+proj128+hidden128 (NEW BEST 0.5421, +0.012)
26926dc	0.554289	keep	exp53: V4+IT+proj128+hidden128 + n_epochs4000 (NEW BEST 0.5543, still climbing)
1c4fbd4	0.561323	keep	exp54: hidden128 + n_epochs6000 (NEW BEST 0.5613, peaked ~ep5000)
3bf1029	0.563335	keep	exp55: hidden128 + n_epochs8000 (NEW BEST 0.5633, leveling off)
701d7c0	0.588090	keep	exp56: hidden256 + n_epochs6000 (NEW BEST 0.5881, +0.025, still climbing)
0602847	0.601094	keep	exp57: hidden256 + n_epochs8000 (NEW BEST 0.6011, crossed 0.60)
9c0d52d	0.601398	keep	exp58: hidden256 + n_epochs10000 (0.6014, converged ~0.601)
8337c9c	0.567021	discard	exp59: hidden512 (worse, overfit/undertrained, h256 optimal)
aeeefcc	0.556385	discard	exp60: rois[1,2,3] 820ch +h256 (worse, V1 noise, V4+IT optimal)
1db54a5	0.580582	discard	exp61: V4+IT thr0.5 511ch (worse, thr1.0 451ch optimal)
47f227c	0.587308	discard	exp62: h256 + bs512 (worse than bs256)
c65e45b	0.572191	discard	exp63: h256 + bs128 (worse, bs256 optimal for h256)
e5777f8	0.577623	discard	exp64: h256 + dropout 0.4 (worse, 0.3 optimal)
d0b6ae0	0.578993	discard	exp65: h256 + dropout 0.2 (worse, 0.3 sharp optimum)
6407752	0.587616	discard	exp66: h256 + proj256 (worse, proj128 optimal)
d4d6f18	0.586214	discard	exp67: h256 + alpha 0.3 (worse, 0.4 optimal)
657e879	0.579687	discard	exp68: h256 + lr 5e-4 (worse, 1e-3 optimal)
b9dd47e	0.453420	discard	exp69: channel_dropout 0.2 (much worse, over-regularizes)
c26e8fb	0.572549	discard	exp70: h256 + lr 2e-3 (worse, 1e-3 sharp optimum)
7b82230	0.586603	discard	exp71: h256 + wd 0.02 (worse, 0.01 optimal)
