commit	val_acc	status	description
3159c79	0.407870	keep	baseline (default config: proj32 hidden64 1-layer GRU lr1e-3 wd0.01 bs32 do0.3 lfp IT ch-sel)
89afd29	0.299357	discard	bigger model proj128 hidden128 2-layer GRU (overfit)
6eea59e	0.390808	discard	proj_dim 64 (worse, baseline config well-tuned)
f554120	0.403559	discard	GRU->LSTM (tied, within noise)
9eb2c2b	0.417694	keep	neural_data mua instead of lfp (84 ch vs 244, +0.0098)
99f62fb	0.390912	discard	mua + proj_dim 64 (proj32 is regularization sweet spot)
8afabe3	0.363660	discard	mua + hidden_size 128 (overfit)
59581f0	0.421927	keep	mua + label smoothing 0.1 (+0.0042)
8f630e9	0.404630	discard	label smoothing 0.2 (too much, 0.1 better)
5a29d82	0.414219	discard	label smoothing 0.05 (0.1 is sweet spot)
e7aed13	0.420229	discard	ls0.1 + weight_decay 0.05 (tied, within noise)
b234ca4	0.399979	discard	ls0.1 + lr 0.002 (higher lr hurts)
799ca35	0.416545	discard	ls0.1 + mixup 0.4 (heavy reg lowers peak)
b3e7157	0.442752	keep	ls0.1 + disable channel selection (all 320 IT mua ch, +0.0208)
52d07a3	0.467261	keep	add V4 rois=[2,3] all ch (512 ch, +0.0245)
26dbccc	0.436141	discard	add V1 rois=[1,2,3] 1024ch (V1 dilutes signal)
d13def3	0.463498	discard	V4+IT + proj_dim 64 (proj32 still optimal)
	0.000000	crash	combine mua+lfp channels (1024ch OOM-killed during process_data)
43e2340	0.467261	discard	n_epochs 4000 + patience 2000 (flat lr: same ceiling, no gain)
4848162	0.469403	keep	cosine LR + n_epochs4000 + patience2000 (+0.0021)
9a7ee58	0.530074	keep	cosine + mixup 0.4 (mixup+cosine combo, +0.0607)
52a026b	0.520246	discard	cosine+mixup + batch_size 128 (bs32 better)
9759e00	0.562422	keep	mixup+cosine + proj_dim 128 (+0.0323)
afd6ffe	0.583560	keep	proj128 + hidden_size 128 (+0.0211)
00f7b8f	0.576348	discard	hidden 128->256 (overfit, h128 sweet spot)
59cd41a	0.583690	discard	n_epochs 4000->6000 (tied, peak reached by 4000)
6ad27be	0.567830	discard	mixup 0.4->0.2 (0.4 better)
9f713a6	0.577446	discard	mixup 0.4->0.8 (0.4 is sweet spot)
7faed2d	0.562892	discard	2-layer GRU + rnn dropout 0.3 (depth hurts, 1-layer best)
c733e31	0.567255	discard	lr 0.001->0.002 (higher lr hurts)
59c2128	0.586565	keep	lr 0.001->0.0005 (+0.003)
b232241	0.569137	discard	lr 0.0005->0.0003 (5e-4 is sweet spot)
